"dietcode","SpecCode","Species","samplestage","V1","benth. crust.","birds","cephalopods","cnidarians","detritus","echinoderms","finfish","fish (early stages)","herps","insects","jellyfish/hydroids","mammals","mollusks","other benth. invertebrates","other plank. invertebrates","other plants","other terrest. invertebrates","others","phytoplankton","plank. crust.","sponges/tunicates","worms"
1,69,"Gadus morhua","recruits/juv.",0,78.6000013351441,0,0,0,0,0,18.1000003814697,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29999995231628
2,69,"Gadus morhua","recruits/juv.",0,80.1000003814697,0,0,0,0,0,17,0,0,0,0,0,1.60000002384186,0,0,0,0,0,0,0,0,1.29999995231628
3,69,"Gadus morhua","recruits/juv.",0,79.9000010490417,0,0,0,0,0,20.0999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29,"Merlangius merlangus","juv./adults",0,3.44000005722046,0,0.200000002980232,0,0,0,82.9000015258789,0,0,0,0,0,0.100000001490116,0.100000001490116,0.5,0,0,0,0,11.9700002670288,0,0.800000011920929
5,29,"Merlangius merlangus","juv./adults",0,5.3600001335144,0,0,0,0,0.150000005960464,86.120002746582,0,0,0,0,0,0.469999998807907,0,0,0,0,0,0,4.94000005722046,0.159999996423721,2.83999991416931
6,29,"Merlangius merlangus","adults",0,3.47000002861023,0,0.6700000166893,0,0,0,86.7099990844727,0,0,0,0,0,0.159999996423721,0,0,0,0,0,0,8.65999984741211,0,0.28999999165535
7,29,"Merlangius merlangus","adults",0,5.8899998664856,0,0.219999998807907,0,0,0,86.9599990844727,0,0,0,0,0,0.100000001490116,0.349999994039535,0.140000000596046,0,0,0,0,4.6100001335144,0,1.75999999046326
8,29,"Merlangius merlangus","adults",0,3.36999988555908,0,0.200000002980232,0,0,0,89.9400024414063,0,0,0,0,0,0,0,0,0,0,0,0,5.76000022888184,0,0.680000007152557
9,29,"Merlangius merlangus","adults",0,3.60999989509582,0,0.129999995231628,0,0,0,91.5,0,0,0,0,0,0.100000001490116,0,0,0,0,0,0,4.1100001335144,0,0.600000023841858
10,29,"Merlangius merlangus","adults",0,4.05999994277954,0,0.270000010728836,0,0,0,92.4199981689453,0,0,0,0,0,0.100000001490116,0,0,0,0,0,0,2.21000003814697,0,0.980000019073486
11,69,"Gadus morhua","recruits/juv.",0,80.4999988675117,0,0,0,0,0,19.5000000596046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,69,"Gadus morhua","recruits/juv.",0,84.100001335144,0,0,0,0,0,14.5000002384186,0,0,0,0,0,0.300000011920929,0,0,0,0,0,0,0,0,1.10000002384186
13,69,"Gadus morhua","recruits/juv.",0,98.4000028148293,0,0,0,0,0,0.200000002980232,0,0,0,0,0,0.699999988079071,0,0,0,0,0,0,0.200000002980232,0,0.5
14,69,"Gadus morhua","recruits/juv.",0,0,0,0,0,0,0,8.89999961853027,0,0,0,0,0,0,0,0,0,0,0,0,91.0999969244003,0,0
15,69,"Gadus morhua","recruits/juv.",0,0.100000001490116,0,0,0,0,0,11.8500003814697,0,0,0,0,0,0,0,0,0,0,0,0,87.9799985289574,0,0.100000001490116
16,72,"Gobius niger","juv./adults",0,18.6000003814697,0,0,0,0,0,0,12.960000038147,0,0,0,0,0,0,0,0,0,0,0,62.1699981689453,0,6.26999998092651
17,76,"Helicolenus dactylopterus","juv./adults",0,12.6300001144409,0,0,34.7980003356934,0,0,36.8030014038086,0,0,0,0,0,3.97000002861023,0,0,0,0,0,0,0,0,11.8000001907349
18,76,"Helicolenus dactylopterus","juv./adults",0,8.44999980926514,0,4.34999990463257,3.75,0,0.219999998807907,82.3399963378906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889999985694885
19,76,"Helicolenus dactylopterus","juv./adults",0,0,0,0,0,0,1.64999997615814,38.9900016784668,0,0,0,0,0,16.2999992370605,43.0999984741211,0,0,0,0,0,0,0,0
20,76,"Helicolenus dactylopterus","juv./adults",0,0,0,0,1.82000005245209,0,0.469999998807907,47.1500015258789,0,0,0,0,0,1.96000003814697,48.5999984741211,0,0,0,0,0,0,0,0
21,79,"Ctenopharyngodon idella","recruits/juv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000000953674,0,0,0,0,0,0
22,80,"Chanos chanos","recruits/juv.",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,34,0,0,46,3,0,3
23,80,"Chanos chanos","recruits/juv.",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,17,0,0,51,0,0,0
24,80,"Chanos chanos","recruits/juv.",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,4,0,0,81,0,0,0
25,82,"Labeo rohita","adults",0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0
26,82,"Labeo rohita","recruits/juv.",0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,37,19,0,0,0,0,0,0
27,82,"Labeo rohita","recruits/juv.",0,0,0,0,0,62.2200012207031,0,0,0,0,0,0,0,0,0,20,17.7700004577637,0,0,0,0,0,0
28,82,"Labeo rohita","recruits/juv.",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
29,84,"Aprion virescens","juv./adults",0,0.300000011920929,0,4.90000009536743,0,0,0,91.5999984741211,0,0,0,0,0,0,0,3.20000004768372,0,0,0,0,0,0,0
30,2,"Oreochromis niloticus","adults",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00000217557,0,0,0
31,2,"Oreochromis niloticus","adults",0,0,0,0,0,23.1000003814697,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9000015258789,0,0,0
32,3,"Oreochromis mossambicus","adults",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7900009155273,0,0,60.2000007629394,0,0,0
33,3,"Oreochromis mossambicus","adults",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19999980926514,0,0,93.8000030517578,0,0,0
34,4,"Engraulis ringens","larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7000007629394,0,0,0,77.3000030517578,0,0,0
35,4,"Engraulis ringens","larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7999992370605,0,0,0,29.2000007629394,0,0,0
36,4,"Engraulis ringens","larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,20,0,0,0
