"SpecCode","Species","autoctr","StockCode","SpeedRefNo","Length","LengthType","SpeedLS","LengthTypeSpeed","Speedms","Mode","DataRef","Reliable","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","SLa","SLb","TS"
2,"Oreochromis niloticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Oreochromis mossambicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Engraulis ringens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Orthopristis chrysoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Coryphaena hippurus",230,1884,308,67,"SL",0.84,"SL",0.5628,"sustained",NA,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
7,"Coryphaena equiselis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Abalistes stellaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Alectis indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Cephalopholis cruentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Epinephelus adscensionis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Epinephelus guttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Epinephelus itajara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Epinephelus morio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Epinephelus striatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Balistes vetula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Argentina sphyraena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Benthosema glaciale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Callionymus reticulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Callionymus lyra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Clupea harengus",71,32,308,25,"SL",6.97,"SL",1.7425,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
25,"Gadiculus thori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Glyptocephalus cynoglossus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Lepidorhombus boscii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Lepidorhombus whiffiagonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Merlangius merlangus",72,39,308,20,"SL",8.04,"SL",1.608,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,0,0.91,NA
29,"Merlangius merlangus",73,39,308,15,"SL",9.86,"SL",1.479,"burst",46348,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,3,1048809600,NA,NA,0,0.91,NA
29,"Merlangius merlangus",74,39,3499,17,NA,1.3,"TL",0.23,"sustained",3511,NA,"17.7 g, fish at 23 cm/sec.",22,705888000,1,780710400,NA,NA,0,0.91,NA
30,"Merluccius merluccius",75,40,3499,22,"TL",3.5,"TL",0.79,"sustained",3511,NA,"23.7 g, fish at 79 cm/sec.",22,705888000,1,780710400,NA,NA,0,0.89,NA
31,"Micromesistius poutassou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Microchirus variegatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Molva molva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Pollachius pollachius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Anguilla anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Agonus cataphractus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Ammodytes marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Ammodytes tobianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Aphia minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Argyropelecus affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Arnoglossus laterna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arnoglossus imperialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Arnoglossus thori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Chelidonichthys cuculus",76,54,3499,19,"TL",2.4,"TL",0.47,"sustained",3511,NA,"19.2 cm, fish at 47 cm/sec.",22,705888000,NA,780710400,NA,NA,NA,NA,NA
45,"Atherina presbyter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Melanolagus bericoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Belone belone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Parablennius gattorugine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Blennius ocellaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Brosme brosme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Buenia jeffreysii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Buglossidium luteum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Capros aper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Centrolabrus exoletus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Cepola macrophthalma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Chirolophis ascanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Coris julis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Symphodus melops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Crystallogobius linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Ctenolabrus rupestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Cyclopterus lumpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Dicentrarchus labrax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Diplecogaster bimaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Echiodon drummondii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Engraulis encrasicolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Entelurus aequoreus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Eutrigla gurnardus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Gadus morhua",77,79,2120,27,"BL",1.44,"BL",0.3888,"sustained",2620,NA,"Maximum sustained speed at 15<b0>C given as 1.9 BL/s TL assumed.",1,737596800,1,969408000,NA,NA,0,0.928,NA
69,"Gadus morhua",78,79,2120,27,"BL",1.95,"BL",0.5265,"sustained",2620,NA,"Maximum sustained speed at 10<b0>C given as 1.9 BL/s. TL assumed.",1,737596800,1,969408000,NA,NA,0,0.928,NA
71,"Caranx hippos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Gobius niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Gobius paganellus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Gobiusculus flavescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Gymnammodytes semisquamatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Helicolenus dactylopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Istiophorus platypterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Istiophorus albicans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Ctenopharyngodon idella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Chanos chanos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Aphareus furca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Labeo rohita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Aphareus rutilans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Aprion virescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Apsilus dentatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Apsilus fuscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"Etelis carbunculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"Lamna nasus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Acanthocybium solandri",79,104,308,125,"SL",0.32,"SL",0.4,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
89,"Acanthocybium solandri",80,104,308,97,"SL",12.4,"SL",12.028,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
89,"Acanthocybium solandri",81,104,308,89,"SL",13.3,"SL",11.837,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
89,"Acanthocybium solandri",82,104,308,110,"SL",19.3,"SL",21.23,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
89,"Acanthocybium solandri",83,104,4680,NA,NA,NA,NA,21.4,"burst",NA,NA,"Check Ref. 4687 for mode of swimming.",3,715392000,NA,780710400,NA,NA,NA,NA,NA
90,"Cetorhinus maximus",231,2286,308,700,"SL",0.11,"SL",0.77,"sustained",310,NA,"Length converted to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
90,"Cetorhinus maximus",232,2286,308,700,"SL",0.25,"SL",1.75,"burst",309,"questionable","Length converted to SL in Ref. 308.",1,696729600,1,969408000,NA,NA,NA,NA,NA
